policy_type,policy_id,mean_duration_min,p90_duration_min,mean_co2_kg,p90_co2_kg,mean_total_risk,p90_total_risk,mean_cost_usd,p90_cost_usd,mean_resilience_penalty,p90_resilience_penalty
Greedy truck-drone baseline,B1_greedy_truck_drone,412.08189593367933,445.50158149845066,17.617042880729112,18.11493119612746,3.8399439712382857,4.394139860294506,905.4789500579458,949.1511487115795,1251.5237127629441,1426.3047188995909
MVP-1 sampled P0229,P0229,446.1321152637417,483.91794467996164,15.842993360908963,16.260757593692453,2.6726961295471248,2.9414797609604197,992.0612273465381,1038.4007185621228,1381.3562938179728,1563.933385249034
NSGA-II balanced,MVP2_1_NSGA2_0003,429.0970601565221,465.1008292480628,16.723916564318916,17.1689723892752,0.8786765931254488,0.9713537285280937,1294.7226910691015,1355.6390299904185,1664.157226474521,1886.1643145338119
NSGA-II efficiency-first,MVP2_1_NSGA2_0003,429.0970601565221,465.1008292480628,16.723916564318916,17.1689723892752,0.8786765931254488,0.9713537285280937,1294.7226910691015,1355.6390299904185,1664.157226474521,1886.1643145338119
NSGA-II low-carbon,MVP2_1_NSGA2_0018,438.60440165729045,475.05696389860765,15.965994056238321,16.39477024053086,1.2642660927217944,1.4053584540589046,1316.2424402934007,1378.6169122244573,1989.6895929324874,2257.564505721872
NSGA-II safety-first,MVP2_1_NSGA2_0070,482.39816224648126,524.01133812059,19.102799287313573,19.597282571275482,0.26390402947138597,0.2886581754628638,1380.6340834681084,1444.1832516965958,1582.2535607068264,1787.4519557109563
Truck-only baseline,B0_truck_only,530.2633746075401,577.0296878365348,21.173814214576815,21.709192327746035,0.05924359037804,0.064129789329312,1457.369683473253,1523.202742204818,2104.089636105818,2370.3505543009956
