policy_type,policy_id,drone_customers,truck_distance_km,duration_min,co2_kg,total_risk,cost_usd,resilience_penalty,duration_min_improvement_percent,co2_kg_improvement_percent,cost_usd_improvement_percent,resilience_penalty_improvement_percent,risk_change_percent
Truck-only baseline,B0_truck_only,0,60.2436,449.8633155080214,19.87660875385785,0.04819488,1345.8843617785944,1579.1047482459844,0.0,0.0,0.0,0.0,0.0
Greedy truck-drone baseline,B1_greedy_truck_drone,18,44.9538,359.4834454471577,16.764026544611482,2.9229704278,826.9344898276721,917.5103002619176,20.090517929607035,15.659523451867754,38.55828083663346,41.89680568809278,5964.898237738116
MVP-1 sampled P0229,P0229,9,41.269,383.7633162752107,14.973436104022303,2.1190395744,911.0602551244398,1024.5548132815304,14.693351725771493,24.66805434746957,32.30768697539007,35.117995533889,4296.814712268191
NSGA-II balanced,MVP2_1_NSGA2_0003,11,46.3273284,370.2564791926361,15.829912131716688,0.6902790627200001,1187.5375742077392,1231.104235649252,17.695783045898494,20.359089783641995,11.765259487939883,22.037835867650934,1332.2663791672476
NSGA-II low-carbon,MVP2_1_NSGA2_0018,13,43.797097199999996,379.63956107078036,15.135394564054659,0.9841848777600001,1205.7829310130383,1468.113760351571,15.610020203122986,23.853234968379454,10.409618741717994,7.0287286525924495,1942.0942593072125
NSGA-II safety-first,MVP2_1_NSGA2_0070,5,53.918022,412.40485889517464,17.999964834702777,0.2131744176,1271.057703791842,1179.7023541701287,8.326630627915435,9.441469329071728,5.559664716504217,25.292963910057153,342.3175607035436
NSGA-II efficiency-first,MVP2_1_NSGA2_0003,11,46.3273284,370.2564791926361,15.829912131716688,0.6902790627200001,1187.5375742077392,1231.104235649252,17.695783045898494,20.359089783641995,11.765259487939883,22.037835867650934,1332.2663791672476
